EventDate,FaultCategory,ECUCount,DTCCount,ECUs,DTCs
2026-05-20,Performance,4,5,"EPS, FCAM, HVAC, RADAR","0X5451, 0X90DA, 0XA9A0, 0XB449, 0XFE8B"
2026-05-14,Performance,3,5,"ADAS, BCM, SRS","0X2835, 0XBC0D, 0XC888, 0XDDFB, 0XEB6E"
2026-05-02,Performance,4,4,"ABS, BCM, OBC, TCM","0X2E39, 0X37DF, 0X3D6B, 0X57BF"
2026-05-08,Communication,4,4,"ADAS, ECM, EPS, RADAR","0X5B1A, 0X5F67, 0X7A36, 0X9557"
2026-05-12,Voltage,4,4,"BCM, BMS, ECM, HVAC","0X80DA, 0XA3EF, 0XEC32, 0XF8A2"
2026-05-22,Communication,4,4,"ECM, FCAM, HVAC, OBC","0X1C8D, 0X49A9, 0X8D05, 0XAE2A"
2026-05-12,Communication,3,4,"BCM, BMS, OBC","0X37E9, 0X5F76, 0XAA16, 0XF61F"
2026-05-21,Voltage,3,4,"BCM, HVAC, SRS","0X1BAD, 0X1FDF, 0X8522, 0XFCC0"
2026-05-02,Sensor,3,3,"ABS, BMS, TCM","0X69DC, 0X6B67, 0XD38C"
2026-05-17,ECU Specific/Other,3,3,"ECM, EPS, FCAM","0X2896, 0XB191, 0XC13E"
2026-05-26,Communication,3,3,"BCM, SRS, TCU","0X1722, 0X6739, 0XEDA4"
2026-05-02,Communication,2,3,"HVAC, TCM","0XA505, 0XB016, 0XB576"
2026-05-05,Communication,2,2,"GW, RADAR","0XB9A5, 0XE6D4"
2026-05-22,Sensor,2,2,"ADAS, HVAC","0X8362, 0XFE5A"
